brand,brand_slug,model,model_slug,version,version_slug,fuel,engine,full_name
ARCFOX,arcfox,Alpha T5,alpha-t5,Comfort,comfort,Eléctrico,Eléctrico,ARCFOX Alpha T5 Comfort
ARCFOX,arcfox,Alpha T5,alpha-t5,Premium,premium,Eléctrico,Eléctrico,ARCFOX Alpha T5 Premium
Agrale,agrale,A10000,a10000,,,,,Agrale A10000
Agrale,agrale,A8700,a8700,,,,,Agrale A8700
Alfa Romeo,alfa-romeo,Tonale,tonale,1.5T Hybrid Sprint AT,1-5t-hybrid-sprint-at,Nafta Eléctrico,1.5 L,Alfa Romeo Tonale 1.5T Hybrid Sprint AT
Alfa Romeo,alfa-romeo,Tonale,tonale,1.5T Hybrid Ti AT,1-5t-hybrid-ti-at,Nafta Eléctrico,1.5 L,Alfa Romeo Tonale 1.5T Hybrid Ti AT
Alfa Romeo,alfa-romeo,Tonale,tonale,1.5T Hybrid Veloce AT,1-5t-hybrid-veloce-at,Nafta Eléctrico,1.5 L,Alfa Romeo Tonale 1.5T Hybrid Veloce AT
Audi,audi,A1,a1,Sportback 35 TFSI S-Tronic,sportback-35-tfsi-s-tronic,Nafta,1.5 L,Audi A1 Sportback 35 TFSI S-Tronic
Audi,audi,A1,a1,Sportback 35 TFSI S Line S-Tronic,sportback-35-tfsi-s-line-s-tronic,Nafta,1.5 L,Audi A1 Sportback 35 TFSI S Line S-Tronic
Audi,audi,A3,a3,Sedán 35 TFSI S-Tronic,sedan-35-tfsi-s-tronic,Nafta,1.5 L,Audi A3 Sedán 35 TFSI S-Tronic
Audi,audi,A3,a3,Sedán 35 TFSI S Line S-Tronic,sedan-35-tfsi-s-line-s-tronic,Nafta,1.5 L,Audi A3 Sedán 35 TFSI S Line S-Tronic
Audi,audi,A5,a5,Coupé 45 TFSI quattro S-Tronic,coupe-45-tfsi-quattro-s-tronic,Nafta,2.0 L,Audi A5 Coupé 45 TFSI quattro S-Tronic
Audi,audi,A5,a5,Sportback 45 TFSI quattro S-Tronic,sportback-45-tfsi-quattro-s-tronic,Nafta,2.0 L,Audi A5 Sportback 45 TFSI quattro S-Tronic
Audi,audi,A6 Allroad,a6-allroad,55 TFSI quattro S-Tronic,55-tfsi-quattro-s-tronic,Nafta,3.0 L,Audi A6 Allroad 55 TFSI quattro S-Tronic
Audi,audi,Q3,q3,35 TFSI S-Tronic,35-tfsi-s-tronic,Nafta,1.5 L,Audi Q3 35 TFSI S-Tronic
Audi,audi,Q3,q3,Sportback 35 TFSI S-Tronic,sportback-35-tfsi-s-tronic,Nafta,1.5 L,Audi Q3 Sportback 35 TFSI S-Tronic
Audi,audi,Q3,q3,40 TFSI quattro S-Tronic,40-tfsi-quattro-s-tronic,Nafta,2.0 L,Audi Q3 40 TFSI quattro S-Tronic
Audi,audi,Q3,q3,Sportback 40 TFSI quattro S-Tronic,sportback-40-tfsi-quattro-s-tronic,Nafta,2.0 L,Audi Q3 Sportback 40 TFSI quattro S-Tronic
Audi,audi,Q5,q5,45 TFSI quattro S-Tronic,45-tfsi-quattro-s-tronic,Nafta,2.0 L,Audi Q5 45 TFSI quattro S-Tronic
Audi,audi,Q5,q5,Sportback 45 TFSI quattro S-Tronic,sportback-45-tfsi-quattro-s-tronic,Nafta,2.0 L,Audi Q5 Sportback 45 TFSI quattro S-Tronic
Audi,audi,Q5,q5,SQ5 Sportback TFSI,sq5-sportback-tfsi,Nafta,3.0 L,Audi Q5 SQ5 Sportback TFSI
Audi,audi,Q7,q7,55 TFSI quattro Tiptronic,55-tfsi-quattro-tiptronic,Nafta,3.0 L,Audi Q7 55 TFSI quattro Tiptronic
Audi,audi,Q8,q8,55 TFSI quattro Tiptronic,55-tfsi-quattro-tiptronic,Nafta,3.0 L,Audi Q8 55 TFSI quattro Tiptronic
Audi,audi,Q8,q8,RS Q8 TFSI quattro Tiptronic,rs-q8-tfsi-quattro-tiptronic,Nafta,4.0 L,Audi Q8 RS Q8 TFSI quattro Tiptronic
Audi,audi,e-tron GT,e-tron-gt,RS e-tron GT quattro,rs-e-tron-gt-quattro,Eléctrico,Eléctrico,Audi e-tron GT RS e-tron GT quattro
BAIC,baic,BJ40,bj40,2.0T Plus AT 4x4,2-0t-plus-at-4x4,Nafta,2.0 L,BAIC BJ40 2.0T Plus AT 4x4
BAIC,baic,X55,x55,1.5T Comfort CVT,1-5t-comfort-cvt,Nafta,1.5 L,BAIC X55 1.5T Comfort CVT
BAIC,baic,X55,x55,1.5T Elite CVT,1-5t-elite-cvt,Nafta,1.5 L,BAIC X55 1.5T Elite CVT
BMW,bmw,Serie 1,serie-1,118i Sportline Steptronic,118i-sportline-steptronic,Nafta,1.5 L,BMW Serie 1 118i Sportline Steptronic
BMW,bmw,Serie 1,serie-1,120i M Sport Steptronic,120i-m-sport-steptronic,Nafta,2.0 L,BMW Serie 1 120i M Sport Steptronic
BMW,bmw,Serie 2 Active Tourer,serie-2-active-tourer,218i Active Tourer Steptronic,218i-active-tourer-steptronic,Nafta,1.5 L,BMW Serie 2 Active Tourer 218i Active Tourer Steptronic
BMW,bmw,Serie 2 Gran Coupé,serie-2-gran-coupe,218i Gran Coupé Steptronic,218i-gran-coupe-steptronic,Nafta,1.5 L,BMW Serie 2 Gran Coupé 218i Gran Coupé Steptronic
BMW,bmw,Serie 2 Gran Coupé,serie-2-gran-coupe,220i M Sport Gran Coupé Steptronic,220i-m-sport-gran-coupe-steptronic,Nafta,2.0 L,BMW Serie 2 Gran Coupé 220i M Sport Gran Coupé Steptronic
BMW,bmw,Serie 3,serie-3,320i Steptronic,320i-steptronic,Nafta,2.0 L,BMW Serie 3 320i Steptronic
BMW,bmw,Serie 3,serie-3,320i M Sport Steptronic,320i-m-sport-steptronic,Nafta,2.0 L,BMW Serie 3 320i M Sport Steptronic
BMW,bmw,Serie 3,serie-3,330i M Sport Steptronic,330i-m-sport-steptronic,Nafta,2.0 L,BMW Serie 3 330i M Sport Steptronic
BMW,bmw,Serie 4 Gran Coupé,serie-4-gran-coupe,420i Gran Coupé Steptronic,420i-gran-coupe-steptronic,Nafta,2.0 L,BMW Serie 4 Gran Coupé 420i Gran Coupé Steptronic
BMW,bmw,Serie 5,serie-5,530i M Sport Steptronic,530i-m-sport-steptronic,Nafta,2.0 L,BMW Serie 5 530i M Sport Steptronic
BMW,bmw,X1,x1,sDrive18i Steptronic,sdrive18i-steptronic,Nafta,1.5 L,BMW X1 sDrive18i Steptronic
BMW,bmw,X1,x1,sDrive20i M Sport Steptronic,sdrive20i-m-sport-steptronic,Nafta,2.0 L,BMW X1 sDrive20i M Sport Steptronic
BMW,bmw,X1,x1,xDrive20i M Sport Steptronic,xdrive20i-m-sport-steptronic,Nafta,2.0 L,BMW X1 xDrive20i M Sport Steptronic
BMW,bmw,X2,x2,sDrive20i M Sport X Steptronic,sdrive20i-m-sport-x-steptronic,Nafta,2.0 L,BMW X2 sDrive20i M Sport X Steptronic
BMW,bmw,X3,x3,xDrive20i Steptronic,xdrive20i-steptronic,Nafta,2.0 L,BMW X3 xDrive20i Steptronic
BMW,bmw,X3,x3,xDrive30i M Sport Steptronic,xdrive30i-m-sport-steptronic,Nafta,2.0 L,BMW X3 xDrive30i M Sport Steptronic
BMW,bmw,X3,x3,M40i xDrive Steptronic,m40i-xdrive-steptronic,Nafta,3.0 L,BMW X3 M40i xDrive Steptronic
BMW,bmw,X5,x5,xDrive40i M Sport Steptronic,xdrive40i-m-sport-steptronic,Nafta,3.0 L,BMW X5 xDrive40i M Sport Steptronic
BMW,bmw,X6,x6,xDrive40i M Sport Steptronic,xdrive40i-m-sport-steptronic,Nafta,3.0 L,BMW X6 xDrive40i M Sport Steptronic
BMW,bmw,Z4,z4,sDrive20i M Sport Steptronic,sdrive20i-m-sport-steptronic,Nafta,2.0 L,BMW Z4 sDrive20i M Sport Steptronic
BMW,bmw,iX1,ix1,xDrive30 M Sport,xdrive30-m-sport,Eléctrico,Eléctrico,BMW iX1 xDrive30 M Sport
BYD,byd,Dolphin,dolphin,Comfort,comfort,Eléctrico,Eléctrico,BYD Dolphin Comfort
BYD,byd,Dolphin,dolphin,Premium,premium,Eléctrico,Eléctrico,BYD Dolphin Premium
BYD,byd,Dolphin Mini,dolphin-mini,Standard,standard,Eléctrico,Eléctrico,BYD Dolphin Mini Standard
BYD,byd,King,king,GL DM-i,gl-dm-i,Nafta Eléctrico,1.5 L,BYD King GL DM-i
BYD,byd,King,king,GS DM-i,gs-dm-i,Nafta Eléctrico,1.5 L,BYD King GS DM-i
BYD,byd,Seal,seal,Design RWD,design-rwd,Eléctrico,Eléctrico,BYD Seal Design RWD
BYD,byd,Seal,seal,Excellence AWD,excellence-awd,Eléctrico,Eléctrico,BYD Seal Excellence AWD
BYD,byd,Seal U,seal-u,Comfort,comfort,Eléctrico,Eléctrico,BYD Seal U Comfort
BYD,byd,Seal U,seal-u,Premium,premium,Eléctrico,Eléctrico,BYD Seal U Premium
BYD,byd,Song Plus,song-plus,Champion GL,champion-gl,Eléctrico,Eléctrico,BYD Song Plus Champion GL
